runtime,score
0.077771902,650
0.090750217,939
0.075796843,703
0.064826727,621
0.072853804,612
0.073829174,769
0.076793909,1101
0.087790728,1036
0.077771425,1002
0.091742277,989
0.094748259,1262
0.115669489,1553
0.104691982,1765
0.107712746,1840
0.107707739,1626
0.116687298,2087
0.09970665,1615
0.089761734,1430
0.094771624,1279
0.145756721,1891
0.113696575,2223
0.108679533,1768
0.109682322,1615
0.090755701,1195
0.097743273,1250
0.126663923,1715
0.124821901,1599
0.111728907,1634
0.142644644,1779
0.14162302,2502
0.111673832,1761
0.100757122,1739
0.125638723,1579
0.164602995,2012
0.075823784,1671
0.086767435,1172
0.109706163,1704
0.101734877,1713
0.127659559,2128
0.111713171,2409
0.1146667,1559
0.101726532,1482
0.122680902,1353
0.107685566,1808
0.100730181,1573
0.097764254,1618
0.112705946,1585
0.136664629,1834
0.13563633,2105
0.13065052,1892
0.092751741,1528
0.102735281,1405
0.095752239,1473
0.114732742,1525
0.099733591,1604
0.093723059,1228
0.110731363,1835
0.1546278,1996
0.124780655,2402
0.181513548,2651
0.110700607,2183
0.14956212,1702
0.105708122,1904
0.127658367,1816
0.11968112,1803
0.183536053,1858
0.099760294,2233
0.181514025,2309
0.137603521,2205
0.144613743,2197
0.144618273,2456
0.113669634,2095
0.194453955,2515
0.131646872,2235
0.149595261,2507
0.134653091,2295
0.173556566,2880
0.188521862,2630
0.133642673,3024
0.127684593,2560
0.112705708,2500
0.176502705,2978
0.17356205,3948
0.404941559,4449
0.224426031,4157
0.21043992,5839
0.372975111,5104
0.256314516,6130
0.409929037,7538
0.190491199,6201
0.272296667,5909
0.312164545,5147
0.271248817,7788
0.175504446,6765
0.149111986,3924
0.200446367,4755
0.253320456,5686
0.255290985,7168
0.408905506,6635
0.299198627,8867
0.419881821,7194
0.404058218,9719
0.170544386,8781
0.406852245,8852
0.396938562,8561
0.406922817,10000
0.317153454,9736
0.418881416,8666
0.411927462,8772
0.357020378,9721
0.188495398,7667
0.345098734,8121
0.342059374,9229
0.410880089,7439
