0,1,2,3,,,,,,,,,
-0.122352647,0.025235316,-0.250558357,0.136389988,,-0.122352647,0.025235316,,,,,,
-0.131706245,0.029478867,-0.217318906,0.077558362,,-0.131706245,0.029478867,,,,,,
-0.140203264,0.032615554,-0.207600952,0.07990441,,-0.140203264,0.032615554,,,,,,
-0.147651001,0.034354636,-0.164954254,0.008496197,,-0.147651001,0.034354636,,,,,,
-0.154001245,0.034767433,-0.152568842,0.012194126,,-0.154001245,0.034767433,,,,,,
-0.160099932,0.035902906,-0.152342376,0.044353246,,-0.160099932,0.035902906,,,,,,
-0.164865053,0.035211429,-0.086118022,-0.077232296,,-0.164865053,0.035211429,,,,,,
-0.168901044,0.034264044,-0.115489027,0.02811646,,-0.168901044,0.034264044,,,,,,
-0.171996267,0.032451113,-0.039492742,-0.116951443,,-0.171996267,0.032451113,,,,,,
-0.173525928,0.028403532,-0.036862132,-0.086692006,,-0.173525928,0.028403532,,,,,,
-0.174490736,0.024384319,-0.011349714,-0.114662028,,-0.174490736,0.024384319,,,,,,
-0.176000024,0.022866637,-0.063829059,0.036227602,,-0.176000024,0.022866637,,,,,,
-0.176578794,0.02010494,0.034584055,-0.171763423,,-0.176578794,0.02010494,,,,,,
-0.17728574,0.018708083,-0.069442612,0.097622195,,-0.17728574,0.018708083,,,,,,
-0.177226253,0.016241034,0.071921518,-0.216777352,,-0.177226253,0.016241034,,,,,,
-0.175063407,0.00979516,0.036537243,-0.10844811,,-0.175063407,0.00979516,,,,,,
-0.172062579,0.002173224,0.113378876,-0.271772821,,-0.172062579,0.002173224,,,,,,
-0.169687213,-0.00328691,0.005961179,-0.006323022,,-0.169687213,-0.00328691,,,,,,
-0.167651797,-0.007773328,0.095541224,-0.215789603,,-0.167651797,-0.007773328,,,,,,
-0.163582419,-0.016875368,0.108075326,-0.240813189,,-0.163582419,-0.016875368,,,,,,
-0.160231098,-0.024263271,0.05983826,-0.131746669,,-0.160231098,-0.024263271,,,,,,
-0.159198397,-0.026625457,-0.007900994,0.011001514,,-0.159198397,-0.026625457,,,,,,
-0.158767369,-0.028405407,0.029305513,-0.098737783,,-0.158767369,-0.028405407,,,,,,
-0.159295842,-0.028761675,-0.055409425,0.078190793,,-0.159295842,-0.028761675,,,,,,
-0.160688786,-0.02814132,-0.014457204,-0.045217369,,-0.160688786,-0.02814132,,,,,,
-0.161289359,-0.030338,-0.015553145,-0.064791081,,-0.161289359,-0.030338,,,,,,
-0.163108971,-0.03058557,-0.075215848,0.050619984,,-0.163108971,-0.03058557,,,,,,
-0.166002068,-0.029415171,-0.069528666,0.008749496,,-0.166002068,-0.029415171,,,,,,
-0.168898089,-0.029315323,-0.07528904,-0.003568484,,-0.168898089,-0.029315323,,,,,,
-0.17189972,-0.029985973,-0.07481708,-0.029726905,,-0.17189972,-0.029985973,,,,,,
-0.176430879,-0.028061935,-0.151509278,0.124014092,,-0.176430879,-0.028061935,,,,,,
-0.183112453,-0.022259372,-0.182610931,0.16665825,,-0.183112453,-0.022259372,,,,,,
-0.189189725,-0.019017985,-0.121604926,-0.001425103,,-0.189189725,-0.019017985,,,,,,
-0.194753557,-0.017753578,-0.156496075,0.063919521,,-0.194753557,-0.017753578,,,,,,
-0.2016548,-0.014055806,-0.188541248,0.120870858,,-0.2016548,-0.014055806,,,,,,
-0.208505295,-0.011192499,-0.154206905,0.024318815,,-0.208505295,-0.011192499,,,,,,
-0.216565697,-0.005986929,-0.248557946,0.233895785,,-0.216565697,-0.005986929,,,,,,
-0.224545862,-0.001548644,-0.150958939,-0.007463353,,-0.224545862,-0.001548644,,,,,,
-0.231855555,0.001141367,-0.21432638,0.140308476,,-0.231855555,0.001141367,,,,,,
-0.240034138,0.005736624,-0.194784487,0.091137198,,-0.240034138,0.005736624,,,,,,
-0.246820552,0.007069868,-0.144762375,-0.022497206,,-0.246820552,0.007069868,,,,,,
-0.25494243,0.011815888,-0.260948917,0.256602486,,-0.25494243,0.011815888,,,,,,
-0.263094911,0.016709541,-0.147237905,-0.006957543,,-0.263094911,0.016709541,,,,,,
-0.270280522,0.01981244,-0.211821972,0.160248653,,-0.270280522,0.01981244,,,,,,
-0.277067271,0.022502778,-0.127893513,-0.022430997,,-0.277067271,0.022502778,,,,,,
-0.283012734,0.02401645,-0.169210924,0.096658565,,-0.283012734,0.02401645,,,,,,
-0.28875409,0.025849887,-0.118074144,-0.003101745,,-0.28875409,0.025849887,,,,,,
-0.293117848,0.025393619,-0.100139277,-0.019544047,,-0.293117848,0.025393619,,,,,,
-0.297818463,0.02675736,-0.134743026,0.086441944,,-0.297818463,0.02675736,,,,,,
-0.301748166,0.027229272,-0.062012952,-0.06053555,,-0.301748166,0.027229272,,,,,,
-0.304164523,0.025251183,-0.058733614,-0.039079689,,-0.304164523,0.025251183,,,,,,
-0.306537379,0.024278207,-0.059845541,-0.010185411,,-0.306537379,0.024278207,,,,,,
-0.307865579,0.021862393,-0.006691548,-0.109604105,,-0.307865579,0.021862393,,,,,,
-0.307348837,0.016186323,0.032530151,-0.174388873,,-0.307348837,0.016186323,,,,,,
-0.306454376,0.010671489,0.012425585,-0.103534529,,-0.306454376,0.010671489,,,,,,
-0.306168068,0.007357262,0.002025211,-0.063450558,,-0.306168068,0.007357262,,,,,,
-0.305536339,0.003760235,0.029542815,-0.116345814,,-0.305536339,0.003760235,,,,,,
-0.304638052,-9.95E-06,0.015522824,-0.073575206,,-0.304638052,-9.95E-06,,,,,,
-0.303483031,-0.004098114,0.042214174,-0.130817972,,-0.303483031,-0.004098114,,,,,,
-0.302511994,-0.007559692,0.006560291,-0.044269031,,-0.302511994,-0.007559692,,,,,,
-0.301402419,-0.011378045,0.04882358,-0.145917305,,-0.301402419,-0.011378045,,,,,,
-0.301518043,-0.012396747,-0.054170986,0.09122121,,-0.301518043,-0.012396747,,,,,,
-0.301949024,-0.013105975,0.032267819,-0.123622647,,-0.301949024,-0.013105975,,,,,,
-0.302079348,-0.014804735,-0.038469656,0.03594194,,-0.302079348,-0.014804735,,,,,,
-0.303010333,-0.015069578,-0.008216018,-0.047991439,,-0.303010333,-0.015069578,,,,,,
-0.303566455,-0.016653325,-0.019525698,-0.031772221,,-0.303566455,-0.016653325,,,,,,
-0.304743188,-0.01724004,-0.039236995,0.001805042,,-0.304743188,-0.01724004,,,,,,
-0.307761631,-0.014061561,-0.111482784,0.155469927,,-0.307761631,-0.014061561,,,,,,
-0.3097139,-0.014104304,0.01334001,-0.153011796,,-0.3097139,-0.014104304,,,,,,
-0.311724685,-0.014335037,-0.113369919,0.137083894,,-0.311724685,-0.014335037,,,,,,
-0.314425394,-0.013522696,-0.022076731,-0.092870454,,-0.314425394,-0.013522696,,,,,,
-0.316989261,-0.013422132,-0.105790971,0.095102816,,-0.316989261,-0.013422132,,,,,,
-0.321176206,-0.01003682,-0.103658535,0.075150803,,-0.321176206,-0.01003682,,,,,,
-0.325145403,-0.007677116,-0.094902751,0.043783957,,-0.325145403,-0.007677116,,,,,,
-0.328429974,-0.007279865,-0.06944777,-0.022847097,,-0.328429974,-0.007279865,,,,,,
-0.333137675,-0.003752069,-0.165630356,0.196679382,,-0.333137675,-0.003752069,,,,,,
-0.337217101,-0.002090464,-0.038903031,-0.10869363,,-0.337217101,-0.002090464,,,,,,
-0.34211246,0.001489635,-0.205262955,0.28258565,,-0.34211246,0.001489635,,,,,,
-0.347580007,0.006133523,-0.068778347,-0.044540335,,-0.347580007,0.006133523,,,,,,
-0.351691418,0.007728187,-0.136539121,0.12211418,,-0.351691418,0.007728187,,,,,,
-0.355899056,0.009722004,-0.074132398,-0.019883772,,-0.355899056,0.009722004,,,,,,
-0.35917349,0.009880789,-0.08951405,0.027159062,,-0.35917349,0.009880789,,,,,,
-0.361751053,0.008801677,-0.039529028,-0.079732809,,-0.361751053,0.008801677,,,,,,
-0.364419798,0.008435003,-0.093662875,0.059252299,,-0.364419798,0.008435003,,,,,,
-0.367266837,0.008822498,-0.048868348,-0.038333088,,-0.367266837,0.008822498,,,,,,
-0.370217685,0.009855249,-0.098479128,0.088295872,,-0.370217685,0.009855249,,,,,,
-0.372827155,0.010392817,-0.03226324,-0.059096625,,-0.372827155,0.010392817,,,,,,
-0.374824924,0.009968476,-0.067454297,0.0363723,,-0.374824924,0.009968476,,,,,,
-0.375814231,0.007596307,0.017709382,-0.152638832,,-0.375814231,0.007596307,,,,,,
-0.376695334,0.005542237,-0.061379872,0.046541714,,-0.376695334,0.005542237,,,,,,
-0.37877708,0.006613579,-0.042798496,0.007828874,,-0.37877708,0.006613579,,,,,,
-0.379532029,0.004828801,0.004907196,-0.0958806,,-0.379532029,0.004828801,,,,,,
-0.380875152,0.004818474,-0.071739008,0.092549131,,-0.380875152,0.004818474,,,,,,
-0.382928714,0.006632574,-0.031138774,-8.18E-05,,-0.382928714,0.006632574,,,,,,
-0.382733751,0.00340702,0.04067707,-0.159473786,,-0.382733751,0.00340702,,,,,,
-0.382882188,0.001445537,-0.047683826,0.057752248,,-0.382882188,0.001445537,,,,,,
-0.384150767,0.002256767,-0.015890234,-0.015920601,,-0.384150767,0.002256767,,,,,,
-0.382852975,-0.002821385,0.080505033,-0.235744485,,-0.382852975,-0.002821385,,,,,,
-0.381366882,-0.007966701,-0.00572932,-0.025722034,,-0.381366882,-0.007966701,,,,,,
-0.381150382,-0.010129106,0.016503635,-0.082005253,,-0.381150382,-0.010129106,,,,,,
-0.381289933,-0.011606889,-0.023295224,0.006483845,,-0.381289933,-0.011606889,,,,,,
-0.381072298,-0.014229946,0.033987379,-0.13605011,,-0.381072298,-0.014229946,,,,,,
-0.381363505,-0.015895679,-0.048188531,0.049636135,,-0.381363505,-0.015895679,,,,,,
-0.382345884,-0.016437241,-0.001131175,-0.074970947,,-0.382345884,-0.016437241,,,,,,
-0.383907749,-0.016077492,-0.076679952,0.090550144,,-0.383907749,-0.016077492,,,,,,
-0.386644136,-0.013588717,-0.060283397,0.035219002,,-0.386644136,-0.013588717,,,,,,
-0.389630007,-0.011089412,-0.088965835,0.089443804,,-0.389630007,-0.011089412,,,,,,
-0.392467432,-0.009466733,-0.053102834,-0.00654689,,-0.392467432,-0.009466733,,,,,,
-0.395736819,-0.007182031,-0.110194876,0.11936633,,-0.395736819,-0.007182031,,,,,,
-0.399393412,-0.004391741,-0.072859598,0.022171842,,-0.399393412,-0.004391741,,,,,,
-0.40239566,-0.003371945,-0.077261793,0.028925341,,-0.40239566,-0.003371945,,,,,,
-0.404961881,-0.003504375,-0.051155912,-0.034625084,,-0.404961881,-0.003504375,,,,,,
-0.407637676,-0.003412483,-0.082509501,0.038149644,,-0.407637676,-0.003412483,,,,,,
-0.410754243,-0.002388551,-0.073382239,0.013623332,,-0.410754243,-0.002388551,,,,,,
-0.413325681,-0.002723414,-0.055257495,-0.02978687,,-0.413325681,-0.002723414,,,,,,
